id_concert,date_debut,lieu,prix,nb_places_effective,cause,lien_photos,lien_video,espace_exterieur,familiale
1,2022-08-19 23:35:32,1,76.01,659,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.",http://blogs.com/gravida/nisi.xml?vel=lectus&lectus=vestibulum&in=quam&quam=sapien&fringilla=varius&rhoncus=ut&mauris=blandit&enim=non&leo=interdum,http://home.pl/ultrices/posuere/cubilia/curae/duis/faucibus.js?leo=nulla&odio=ac&condimentum=enim&id=in&luctus=tempor&nec=turpis&molestie=nec&sed=euismod&justo=scelerisque&pellentesque=quam&viverra=turpis&pede=adipiscing&ac=lorem&diam=vitae&cras=mattis&pellentesque=nibh&volutpat=ligula&dui=nec&maecenas=sem&tristique=duis&est=aliquam&et=convallis&tempus=nunc&semper=proin&est=at&quam=turpis&pharetra=a&magna=pede&ac=posuere&consequat=nonummy&metus=integer&sapien=non&ut=velit&nunc=donec&vestibulum=diam&ante=neque&ipsum=vestibulum&primis=eget&in=vulputate&faucibus=ut&orci=ultrices&luctus=vel&et=augue&ultrices=vestibulum&posuere=ante&cubilia=ipsum&curae=primis&mauris=in&viverra=faucibus&diam=orci&vitae=luctus&quam=et&suspendisse=ultrices,false,true
2,2023-02-11 10:33:22,15,80.32,666,"Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",http://tumblr.com/dolor/quis/odio/consequat/varius.jpg?tristique=diam&in=erat&tempus=fermentum&sit=justo&amet=nec&sem=condimentum&fusce=neque&consequat=sapien&nulla=placerat&nisl=ante&nunc=nulla&nisl=justo&duis=aliquam&bibendum=quis&felis=turpis&sed=eget&interdum=elit&venenatis=sodales&turpis=scelerisque&enim=mauris&blandit=sit&mi=amet&in=eros&porttitor=suspendisse&pede=accumsan&justo=tortor&eu=quis&massa=turpis&donec=sed&dapibus=ante&duis=vivamus&at=tortor&velit=duis&eu=mattis&est=egestas&congue=metus&elementum=aenean&in=fermentum&hac=donec&habitasse=ut&platea=mauris&dictumst=eget&morbi=massa&vestibulum=tempor&velit=convallis&id=nulla&pretium=neque&iaculis=libero&diam=convallis&erat=eget&fermentum=eleifend&justo=luctus&nec=ultricies&condimentum=eu&neque=nibh&sapien=quisque&placerat=id&ante=justo&nulla=sit&justo=amet&aliquam=sapien&quis=dignissim&turpis=vestibulum&eget=vestibulum,https://infoseek.co.jp/eget/congue/eget/semper.jpg?at=neque&turpis=aenean&a=auctor&pede=gravida&posuere=sem&nonummy=praesent&integer=id&non=massa&velit=id&donec=nisl&diam=venenatis&neque=lacinia&vestibulum=aenean&eget=sit&vulputate=amet&ut=justo&ultrices=morbi&vel=ut&augue=odio&vestibulum=cras,true,true
3,2023-03-20 12:43:11,14,34.64,830,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.",http://unesco.org/ipsum.xml?in=felis&faucibus=donec&orci=semper&luctus=sapien&et=a&ultrices=libero&posuere=nam&cubilia=dui&curae=proin&nulla=leo&dapibus=odio&dolor=porttitor&vel=id&est=consequat&donec=in&odio=consequat&justo=ut&sollicitudin=nulla&ut=sed&suscipit=accumsan&a=felis&feugiat=ut&et=at&eros=dolor&vestibulum=quis&ac=odio&est=consequat&lacinia=varius&nisi=integer&venenatis=ac&tristique=leo&fusce=pellentesque&congue=ultrices&diam=mattis&id=odio&ornare=donec&imperdiet=vitae&sapien=nisi&urna=nam&pretium=ultrices&nisl=libero&ut=non&volutpat=mattis&sapien=pulvinar&arcu=nulla&sed=pede&augue=ullamcorper&aliquam=augue&erat=a&volutpat=suscipit&in=nulla&congue=elit&etiam=ac&justo=nulla&etiam=sed,https://washingtonpost.com/nisl/duis/bibendum.jpg?leo=sem&rhoncus=duis&sed=aliquam,false,false
4,2022-10-22 17:59:21,4,50.38,958,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",http://bing.com/libero.png?erat=mauris&fermentum=sit&justo=amet&nec=eros&condimentum=suspendisse&neque=accumsan&sapien=tortor&placerat=quis&ante=turpis&nulla=sed&justo=ante&aliquam=vivamus&quis=tortor&turpis=duis&eget=mattis&elit=egestas&sodales=metus&scelerisque=aenean&mauris=fermentum&sit=donec&amet=ut&eros=mauris&suspendisse=eget&accumsan=massa&tortor=tempor&quis=convallis&turpis=nulla&sed=neque&ante=libero&vivamus=convallis&tortor=eget&duis=eleifend&mattis=luctus&egestas=ultricies&metus=eu&aenean=nibh&fermentum=quisque&donec=id&ut=justo&mauris=sit&eget=amet&massa=sapien&tempor=dignissim&convallis=vestibulum&nulla=vestibulum&neque=ante&libero=ipsum&convallis=primis,https://dedecms.com/lectus/pellentesque/eget.html?porta=sociis&volutpat=natoque&quam=penatibus&pede=et&lobortis=magnis&ligula=dis&sit=parturient&amet=montes&eleifend=nascetur&pede=ridiculus&libero=mus&quis=etiam&orci=vel&nullam=augue&molestie=vestibulum&nibh=rutrum&in=rutrum&lectus=neque&pellentesque=aenean&at=auctor&nulla=gravida&suspendisse=sem&potenti=praesent&cras=id&in=massa&purus=id&eu=nisl&magna=venenatis&vulputate=lacinia&luctus=aenean&cum=sit&sociis=amet&natoque=justo&penatibus=morbi&et=ut&magnis=odio&dis=cras&parturient=mi&montes=pede&nascetur=malesuada&ridiculus=in&mus=imperdiet&vivamus=et&vestibulum=commodo&sagittis=vulputate&sapien=justo&cum=in&sociis=blandit&natoque=ultrices&penatibus=enim&et=lorem&magnis=ipsum&dis=dolor&parturient=sit&montes=amet&nascetur=consectetuer&ridiculus=adipiscing&mus=elit&etiam=proin&vel=interdum&augue=mauris&vestibulum=non&rutrum=ligula&rutrum=pellentesque&neque=ultrices&aenean=phasellus&auctor=id&gravida=sapien&sem=in,true,true
5,2022-08-24 19:17:07,11,64.83,588,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit.",http://dell.com/platea/dictumst/aliquam/augue/quam/sollicitudin.html?volutpat=ultrices&quam=phasellus&pede=id&lobortis=sapien&ligula=in&sit=sapien&amet=iaculis,https://1688.com/justo.jpg?blandit=eu&lacinia=massa&erat=donec,false,true
6,2022-06-01 05:13:56,10,30.38,923,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.,https://ox.ac.uk/elementum/nullam/varius/nulla/facilisi/cras/non.js?elit=hendrerit&proin=at&risus=vulputate&praesent=vitae&lectus=nisl&vestibulum=aenean&quam=lectus&sapien=pellentesque&varius=eget&ut=nunc&blandit=donec&non=quis&interdum=orci&in=eget&ante=orci&vestibulum=vehicula&ante=condimentum&ipsum=curabitur&primis=in&in=libero&faucibus=ut&orci=massa&luctus=volutpat&et=convallis&ultrices=morbi&posuere=odio&cubilia=odio&curae=elementum&duis=eu&faucibus=interdum&accumsan=eu&odio=tincidunt&curabitur=in&convallis=leo&duis=maecenas&consequat=pulvinar&dui=lobortis&nec=est&nisi=phasellus&volutpat=sit&eleifend=amet&donec=erat&ut=nulla&dolor=tempus&morbi=vivamus&vel=in&lectus=felis&in=eu&quam=sapien&fringilla=cursus&rhoncus=vestibulum&mauris=proin&enim=eu&leo=mi&rhoncus=nulla&sed=ac&vestibulum=enim&sit=in&amet=tempor&cursus=turpis&id=nec&turpis=euismod&integer=scelerisque&aliquet=quam&massa=turpis&id=adipiscing&lobortis=lorem&convallis=vitae&tortor=mattis&risus=nibh&dapibus=ligula&augue=nec&vel=sem&accumsan=duis&tellus=aliquam&nisi=convallis&eu=nunc&orci=proin&mauris=at&lacinia=turpis&sapien=a&quis=pede&libero=posuere&nullam=nonummy&sit=integer&amet=non&turpis=velit&elementum=donec&ligula=diam&vehicula=neque&consequat=vestibulum&morbi=eget,http://businessweek.com/natoque/penatibus/et/magnis/dis/parturient.png?et=consequat&tempus=metus&semper=sapien&est=ut&quam=nunc&pharetra=vestibulum&magna=ante&ac=ipsum&consequat=primis&metus=in&sapien=faucibus&ut=orci&nunc=luctus&vestibulum=et&ante=ultrices&ipsum=posuere&primis=cubilia&in=curae&faucibus=mauris&orci=viverra&luctus=diam&et=vitae&ultrices=quam&posuere=suspendisse&cubilia=potenti&curae=nullam,false,false
7,2023-02-07 12:28:21,1,79.63,832,In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,https://chronoengine.com/molestie/nibh.js?rutrum=in&nulla=faucibus&nunc=orci&purus=luctus&phasellus=et&in=ultrices&felis=posuere&donec=cubilia&semper=curae&sapien=donec&a=pharetra&libero=magna&nam=vestibulum&dui=aliquet&proin=ultrices&leo=erat&odio=tortor&porttitor=sollicitudin&id=mi&consequat=sit&in=amet&consequat=lobortis&ut=sapien&nulla=sapien&sed=non&accumsan=mi&felis=integer&ut=ac&at=neque&dolor=duis&quis=bibendum&odio=morbi&consequat=non&varius=quam&integer=nec&ac=dui&leo=luctus&pellentesque=rutrum&ultrices=nulla&mattis=tellus&odio=in&donec=sagittis&vitae=dui&nisi=vel&nam=nisl&ultrices=duis&libero=ac&non=nibh&mattis=fusce&pulvinar=lacus&nulla=purus&pede=aliquet&ullamcorper=at&augue=feugiat&a=non&suscipit=pretium&nulla=quis&elit=lectus&ac=suspendisse&nulla=potenti&sed=in&vel=eleifend&enim=quam&sit=a&amet=odio&nunc=in&viverra=hac&dapibus=habitasse&nulla=platea&suscipit=dictumst&ligula=maecenas&in=ut&lacus=massa,http://diigo.com/nulla.js?fusce=mauris&congue=viverra&diam=diam&id=vitae&ornare=quam&imperdiet=suspendisse&sapien=potenti&urna=nullam&pretium=porttitor&nisl=lacus&ut=at&volutpat=turpis&sapien=donec&arcu=posuere&sed=metus&augue=vitae&aliquam=ipsum&erat=aliquam&volutpat=non&in=mauris&congue=morbi&etiam=non&justo=lectus&etiam=aliquam&pretium=sit&iaculis=amet&justo=diam&in=in&hac=magna&habitasse=bibendum&platea=imperdiet&dictumst=nullam&etiam=orci&faucibus=pede,false,true
8,2022-07-16 09:36:35,19,30.27,822,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",https://army.mil/gravida/nisi.jsp?nulla=vivamus&ac=in&enim=felis&in=eu&tempor=sapien&turpis=cursus&nec=vestibulum&euismod=proin&scelerisque=eu&quam=mi&turpis=nulla&adipiscing=ac&lorem=enim&vitae=in&mattis=tempor&nibh=turpis&ligula=nec&nec=euismod&sem=scelerisque&duis=quam&aliquam=turpis&convallis=adipiscing&nunc=lorem&proin=vitae&at=mattis&turpis=nibh&a=ligula&pede=nec&posuere=sem&nonummy=duis&integer=aliquam&non=convallis&velit=nunc&donec=proin&diam=at&neque=turpis&vestibulum=a&eget=pede&vulputate=posuere&ut=nonummy&ultrices=integer&vel=non&augue=velit&vestibulum=donec&ante=diam&ipsum=neque&primis=vestibulum&in=eget&faucibus=vulputate&orci=ut&luctus=ultrices&et=vel&ultrices=augue&posuere=vestibulum&cubilia=ante&curae=ipsum&donec=primis&pharetra=in&magna=faucibus&vestibulum=orci&aliquet=luctus&ultrices=et&erat=ultrices&tortor=posuere&sollicitudin=cubilia&mi=curae&sit=donec&amet=pharetra&lobortis=magna&sapien=vestibulum&sapien=aliquet&non=ultrices&mi=erat&integer=tortor&ac=sollicitudin&neque=mi&duis=sit&bibendum=amet&morbi=lobortis&non=sapien&quam=sapien&nec=non&dui=mi&luctus=integer,http://kickstarter.com/massa/tempor/convallis.js?auctor=aliquam&gravida=erat&sem=volutpat&praesent=in&id=congue&massa=etiam&id=justo&nisl=etiam&venenatis=pretium&lacinia=iaculis&aenean=justo&sit=in&amet=hac&justo=habitasse&morbi=platea&ut=dictumst&odio=etiam&cras=faucibus&mi=cursus&pede=urna&malesuada=ut&in=tellus&imperdiet=nulla&et=ut&commodo=erat&vulputate=id&justo=mauris&in=vulputate&blandit=elementum&ultrices=nullam&enim=varius&lorem=nulla&ipsum=facilisi&dolor=cras&sit=non&amet=velit&consectetuer=nec&adipiscing=nisi&elit=vulputate&proin=nonummy&interdum=maecenas&mauris=tincidunt&non=lacus&ligula=at&pellentesque=velit&ultrices=vivamus&phasellus=vel&id=nulla&sapien=eget&in=eros&sapien=elementum&iaculis=pellentesque&congue=quisque&vivamus=porta&metus=volutpat&arcu=erat&adipiscing=quisque&molestie=erat&hendrerit=eros&at=viverra&vulputate=eget&vitae=congue&nisl=eget&aenean=semper&lectus=rutrum&pellentesque=nulla&eget=nunc&nunc=purus&donec=phasellus&quis=in&orci=felis&eget=donec&orci=semper&vehicula=sapien&condimentum=a&curabitur=libero&in=nam&libero=dui&ut=proin&massa=leo&volutpat=odio&convallis=porttitor&morbi=id&odio=consequat&odio=in&elementum=consequat&eu=ut&interdum=nulla&eu=sed&tincidunt=accumsan&in=felis&leo=ut,true,false
9,2022-07-26 21:18:49,9,15.76,756,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",http://myspace.com/dui/vel.js?ultrices=mi&posuere=pede&cubilia=malesuada&curae=in&donec=imperdiet&pharetra=et&magna=commodo&vestibulum=vulputate&aliquet=justo&ultrices=in&erat=blandit&tortor=ultrices&sollicitudin=enim&mi=lorem&sit=ipsum&amet=dolor&lobortis=sit&sapien=amet&sapien=consectetuer&non=adipiscing&mi=elit&integer=proin&ac=interdum&neque=mauris&duis=non&bibendum=ligula&morbi=pellentesque&non=ultrices&quam=phasellus&nec=id&dui=sapien&luctus=in&rutrum=sapien&nulla=iaculis&tellus=congue&in=vivamus&sagittis=metus&dui=arcu&vel=adipiscing&nisl=molestie&duis=hendrerit&ac=at&nibh=vulputate&fusce=vitae&lacus=nisl&purus=aenean&aliquet=lectus&at=pellentesque&feugiat=eget&non=nunc&pretium=donec&quis=quis&lectus=orci&suspendisse=eget&potenti=orci&in=vehicula&eleifend=condimentum&quam=curabitur,http://craigslist.org/praesent/blandit/nam.aspx?volutpat=eu,false,true
10,2022-08-28 17:58:03,16,22.53,891,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",https://so-net.ne.jp/vestibulum/ante/ipsum/primis/in/faucibus/orci.xml?nec=mauris&molestie=viverra&sed=diam&justo=vitae&pellentesque=quam&viverra=suspendisse&pede=potenti&ac=nullam&diam=porttitor&cras=lacus&pellentesque=at&volutpat=turpis&dui=donec&maecenas=posuere&tristique=metus&est=vitae&et=ipsum&tempus=aliquam&semper=non&est=mauris&quam=morbi&pharetra=non&magna=lectus&ac=aliquam&consequat=sit&metus=amet&sapien=diam&ut=in&nunc=magna&vestibulum=bibendum&ante=imperdiet&ipsum=nullam&primis=orci&in=pede&faucibus=venenatis&orci=non&luctus=sodales&et=sed&ultrices=tincidunt&posuere=eu&cubilia=felis&curae=fusce&mauris=posuere&viverra=felis,https://hibu.com/vivamus/metus/arcu/adipiscing/molestie/hendrerit/at.aspx?nisi=erat&at=nulla&nibh=tempus&in=vivamus&hac=in&habitasse=felis&platea=eu&dictumst=sapien&aliquam=cursus&augue=vestibulum&quam=proin&sollicitudin=eu&vitae=mi&consectetuer=nulla&eget=ac&rutrum=enim&at=in&lorem=tempor&integer=turpis&tincidunt=nec&ante=euismod&vel=scelerisque&ipsum=quam,true,true
