id_lieu,nom_lieu,pays,ville,adresse
1,48851 Holmberg Park,Sweden,Stockholm,Apt 1977
2,9 Valley Edge Lane,France,Paris,Apt 240
3,765 Gale Junction,Benin,Abomey-Calavi,PO Box 53764
4,835 Fremont Trail,Vietnam,Bộc Bố,8th Floor
5,9 Ilene Terrace,China,Dagushan,Suite 79
6,990 Bunting Park,France,Paris,Apt 1569
7,2458 7th Point,Panama,Ustupo,Apt 1746
8,24 Moland Avenue,Kenya,Keruguya,PO Box 64981
9,30 Forest Place,Indonesia,Rancagadog,Suite 63
10,4 Old Gate Alley,China,Heilongkou,Apt 1859
11,56293 Arrowood Trail,Russia,Proletarskiy,Suite 65
12,57863 Sugar Court,France,Paris,PO Box 67257
13,5 Straubel Court,China,Xigaoshan,Room 236
14,230 Sloan Junction,Sweden,Ljungsbro,PO Box 13397
15,48279 Center Drive,Nigeria,Tokombere,Suite 3
16,727 Sullivan Lane,Vietnam,Quỳ Châu,Suite 60
17,2 Amoth Center,Kazakhstan,Terenozek,Apt 681
18,6541 Spaight Trail,China,Dayan,PO Box 77959
19,10 Monica Point,Japan,Inazawa,Suite 54
20,294 Ruskin Alley,Mongolia,Jargalant,Apt 1465
